household_id,efficient_windows,energy_intensity_kwh_m2,floor_area_m2,building_age,year_built,housing_type,climate_zone,cold_climate,household_size,income_bin
100001,1,217.28797243959306,195.09629999999999,45.0,1975.0,SF-Detached,Mixed-Dry,0,2,13
100002,1,149.89457907325968,54.81277,35.0,1985.0,Apt-5plus,Mixed-Humid,0,1,6
100003,0,107.78093196921529,83.6127,55.0,1965.0,Apt-5plus,Mixed-Dry,0,1,11
100004,1,130.33757819903306,195.09629999999999,35.0,1985.0,SF-Detached,Mixed-Humid,0,2,10
100005,1,233.151794679149,74.3224,55.0,1965.0,Apt-5plus,Mixed-Humid,0,2,16
100006,0,59.602724226358866,419.92156,25.0,1995.0,SF-Detached,Hot-Humid,0,4,15
100007,1,198.10101303443042,195.09629999999999,65.0,1955.0,SF-Detached,Mixed-Humid,0,6,11
100008,1,145.27460900105916,83.6127,15.0,2005.0,Apt-5plus,Mixed-Humid,0,2,8
100009,0,61.039367474589845,69.67725,15.0,2005.0,Apt-5plus,Mixed-Humid,0,1,14
100010,0,51.443784393349766,70.60628,35.0,1985.0,Apt-5plus,Hot-Dry,0,1,9
100011,0,113.20975254194853,151.43189,45.0,1975.0,SF-Detached,Hot-Dry,0,1,12
100012,1,151.31215157664835,143.07062,5.0,2015.0,SF-Detached,Hot-Dry,0,5,7
100013,0,132.4603763463203,185.806,45.0,1975.0,SF-Detached,Hot-Humid,0,2,13
100014,1,66.5640573076854,134.70935,65.0,1955.0,SF-Detached,Very-Cold,1,1,2
100015,1,187.42803822555294,153.28995,65.0,1955.0,SF-Detached,Cold,1,1,11
100017,1,186.26174117382405,177.44473,35.0,1985.0,SF-Detached,Cold,1,2,16
100018,1,149.49482235271353,246.19295,25.0,1995.0,SF-Detached,Mixed-Dry,0,2,16
100019,1,82.76077937334871,183.94794,45.0,1975.0,SF-Attached,Mixed-Humid,0,3,9
100020,0,130.55926293196435,120.7739,55.0,1965.0,SF-Detached,Hot-Humid,0,3,14
100021,0,92.08889675514988,171.87055,55.0,1965.0,SF-Attached,Cold,1,1,2
100022,1,65.36733926140943,104.98039,45.0,1975.0,Apt-5plus,Cold,1,3,15
100023,1,92.2687894781153,253.62519,15.0,2005.0,SF-Detached,Cold,1,2,16
100024,1,40.59395587183181,245.26391999999998,25.0,1995.0,SF-Detached,Cold,1,2,14
100025,1,268.60700607128723,132.85129,75.0,1945.0,SF-Detached,Cold,1,1,1
100026,1,56.19008686931817,226.68332,35.0,1985.0,SF-Detached,Cold,1,5,15
100027,1,130.7812913191596,278.709,15.0,2005.0,SF-Detached,Cold,1,4,16
100028,1,206.248981825914,138.42547,75.0,1945.0,SF-Detached,Cold,1,2,9
100029,1,93.64243825181055,168.15443,25.0,1995.0,SF-Detached,Hot-Humid,0,2,9
100030,1,82.801167476055,232.2575,45.0,1975.0,SF-Detached,Cold,1,2,12
100031,1,125.10009181061211,264.77355,65.0,1955.0,SF-Detached,Cold,1,2,15
100032,1,127.75764775470138,183.94794,55.0,1965.0,SF-Detached,Cold,1,2,13
100033,1,52.85692352069406,506.32135,5.0,2015.0,SF-Detached,Hot-Dry,0,4,13
100034,1,249.6731563828369,255.48325,75.0,1945.0,SF-Detached,Cold,1,2,16
100035,1,126.4982341419741,250.8381,65.0,1955.0,SF-Detached,Cold,1,3,11
100036,1,139.05391469767298,148.6448,65.0,1955.0,SF-Detached,Mixed-Humid,0,2,15
